"CO_NCM","Setor","Subsetor","Produto","NCM"
"01011010","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES DE RACA PURA"
"01011090","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES,REPRODUTORES DE RACA PURA"
"01011100","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES,DE RACA PURA"
"01011900","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","OUTROS CAVALOS,VIVOS"
"01012000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS"
"01012100","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS REPRODUTORES DE RACA PURA"
"01012900","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS VIVOS, EXCETO REPRODUTORES DE RACA PURA"
"01013000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ANIMAIS ESPECIE ASININA/MUAR, REPRODUTORES DE RACA PURA"
"01019000","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ANIMAIS ESPECIE ASININA/MUAR, EXCETO REPROD. RACA PURA"
"01019010","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","CAVALOS VIVOS","CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA"
"01019090","ANIMAIS VIVOS (EXCETO PESCADOS)","CAVALOS, ASININOS E MUARES VIVOS","ASININOS E MUARES VIVOS","ASININOS E MUARES.VIVOS,EXC.REPRODUTORES DE RACA PURA"
"01021010","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUT.DE RACA PURA,PRENHE OU COM CRIA AO PE"
"01021090","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUT.DE RACA PURA,EXC.PRENHE/COM CRIA AO PE"
"01022110","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","BOVINOS REPRODUTORES RACA PURA, PRENHE OU C/ CRIA AO PE"
"01022190","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS REPRODUTORES DE RACA PURA"
"01022911","ANIMAIS VIVOS (EXCETO PESCADOS)","BOVINOS E BUBALINOS VIVOS","BOVINOS VIVOS","OUTROS BOVINOS PARA REPRODUCAO, PRENHE OU C/ CRIA AO PE"
